																																														
Scientific Name	Common Name	Alder	Apple*	Ash	Avocado	Azalea	Beech	Birch	Blueberry*	Boxwood	Camellia	Cedar	Cherry*	Chestnut	Cypress	Dogwood	Douglas fir	Elm	Eucalyptus	Fir	Hawthorn	Hazel	Hemlock	Hickory	Holly	Juniper	Larch	Linden	Magnolia	Maples	Mulberry	New World palms/Palmetto	Oak	Pawpaw	Pine	Poplar	Rhododendron	Sassafras	Spruce	Sweet gum	Sycamore	Tanoaks	Viburnum	Walnut*	Willow	Pest Commodity Total
Agrilus biguttatus	Oak splendour beetle																																▲													1
Anguina tritici	Wheat gall nematode																																													0
 'Candidatus Phytoplasma australiense' 16SrXII-B	Australian grapevine yellows																																	▲						▲						2
 'Candidatus Phytoplasma mali' 16SrX-A	Apple proliferation		▲																																											1
 'Candidatus Phytoplasma phoenicium' 16SrIX-B	Almond witches' broom																																													0
 'Candidatus Phytoplasma solani' 16SrXII-A	Bois noir; Stolbur																																													0
 'Candidatus Phytoplasma vitis' 16SrV-C	Flavescence dorée 																																													0
Ceroplastes japonicus	Japanese wax scale    																								▲																					1
Chilo suppressalis	Asiatic rice borer																																													0
Cronartium flaccidum	Scots pine blister rust																																		▲											1
Cryptoblabes gnidiella	Christmas berry webworm				▲																																									1
Dendrolimus pini	Pine-tree lappet																																		▲											1
Dendrolimus punctatus	Masson pine moth																																		▲											1
Dendrolimus sibiricus	Siberian silk moth																▲			▲							▲								▲				▲							5
Diabrotica speciosa	Cucurbit beetle																																													0
Eurygaster integriceps	Sunn pest																																													0
Harpophora maydis	Late wilt of corn																																													0
Helicoverpa armigera	Old world bollworm    																																													0
Hymenoscyphus fraxineus	Ash dieback			▲																																										1
Laodelphax striatellus	Small brown planthopper																																													0
Megaplatypus mutatus	No common name, an ambrosia beetle		▲																																									▲		2
Neoleucinodes elegantalis	Tomato fruit borer																																													0
Oxycarenus hyalinipennis	Cotton seed bug																																													0
Paysandisia archon	South American palm borer																															▲														1
Phytophthora alni	Alder root and collar rot	▲																																												1
Phytophthora kernoviae	Beech bleeding canker						▲																														▲									2
Platypus quercivorus	Oak ambrosia beetle																																▲													1
Pseudopezicula tracheiphila	Rotbrenner																																													0
Raffaelea quercivora	Japanese oak wilt																																▲													1
Ralstonia solanacearum race 3 biovar 2	Bacterial wilt																																													0
Spodoptera litura	Cotton cutworm 		▲								▲																				▲															3
Tecia solanivora	Guatemalan potato moth																																													0
Thaumatotibia leucotreta	False codling moth    				▲																												▲													2
Thaumetopoea pityocampa	Pine processionary moth											▲																							▲											2
Thaumetopoea processionea	Oak processionary moth																																▲													1
Tobamovirus Cucumber green mottle mosaic virus	Cucumber green mottle mosaic (CGMMV)																																													0
Tomicus destruens	Mediterranean pine shoot beetle																																		▲											1
Tospovirus Groundnut bud necrosis virus	Groundnut bud necrosis (GBNV)																																													0
Tremex fuscicornis	Tremex woodwasp 																																			▲									▲	2
Tuta absoluta	Tomato leafminer																																													0
Xanthomonas oryzae pv. oryzae, X. oryzae pv. oryzicola 	Bacterial blight, Bacterial leaf streak																																													0
Total Pests Per Commodity:		1	3	1	2	0	1	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	1	1	5	1	6	1	1	0	1	1	0	0	0	1	1	
																																														
▲ = Primary host (economic/environmental damage has been reported in the scientific literature)																																														
* = Included as a commodity and a tree/shrub																																														
